hour_beginning,pedestrians,to_manhattan,to_brooklyn,weather_summary,temperature,precipitation,events
2017-10-01 00:00:00,44,30,14,clear-night,52.0,0.0001,
2017-10-01 01:00:00,30,17,13,partly-cloudy-night,53.0,0.0002,
2017-10-01 02:00:00,25,13,12,partly-cloudy-night,52.0,0.0,
2017-10-01 03:00:00,20,11,9,partly-cloudy-night,51.0,0.0,
2017-10-01 04:00:00,18,10,8,partly-cloudy-night,51.0,0.0,
2017-10-01 05:00:00,16,12,4,partly-cloudy-night,50.0,0.0,
2017-10-01 06:00:00,113,88,25,partly-cloudy-night,49.0,0.0001,
2017-10-01 07:00:00,199,72,127,clear-day,49.0,0.0,
2017-10-01 08:00:00,261,133,128,clear-day,50.0,0.0,
2017-10-01 09:00:00,845,504,341,clear-day,54.0,0.0,
2017-10-01 10:00:00,2478,1906,572,clear-day,57.0,0.0,
2017-10-01 11:00:00,3006,1277,1729,clear-day,60.0,0.0,
2017-10-01 12:00:00,2263,1233,1030,clear-day,62.0,0.0,
2017-10-01 13:00:00,2616,1447,1169,clear-day,64.0,0.0,
2017-10-01 14:00:00,2463,1339,1124,clear-day,65.0,0.0,
2017-10-01 15:00:00,2245,1189,1056,clear-day,66.0,0.0,
2017-10-01 16:00:00,2764,1040,1724,clear-day,67.0,0.0,
2017-10-01 17:00:00,2247,1140,1107,clear-day,67.0,0.0,
2017-10-01 18:00:00,2142,1091,1051,clear-day,66.0,0.0,
2017-10-01 19:00:00,899,298,601,clear-night,62.0,0.0,
2017-10-01 20:00:00,481,143,338,clear-night,59.0,0.0,
2017-10-01 21:00:00,275,117,158,clear-night,57.0,0.0,
2017-10-01 22:00:00,133,53,80,clear-night,55.0,0.0,
2017-10-01 23:00:00,104,68,36,clear-night,54.0,0.0,
2017-10-02 00:00:00,60,20,40,clear-night,53.0,0.0,
2017-10-02 01:00:00,27,15,12,clear-night,52.0,0.0,
2017-10-02 02:00:00,6,3,3,clear-night,51.0,0.0,
2017-10-02 03:00:00,8,5,3,clear-night,50.0,0.0,
2017-10-02 04:00:00,2,0,2,clear-night,49.0,0.0,
2017-10-02 05:00:00,19,13,6,clear-night,48.0,0.0,
2017-10-02 06:00:00,96,64,32,clear-night,49.0,0.0,
2017-10-02 07:00:00,182,81,101,clear-day,48.0,0.0,
2017-10-02 08:00:00,362,138,224,clear-day,50.0,0.0,
2017-10-02 09:00:00,536,293,243,clear-day,56.0,0.0,
2017-10-02 10:00:00,1071,645,426,clear-day,60.0,0.0,
2017-10-02 11:00:00,1617,860,757,clear-day,64.0,0.0,
2017-10-02 12:00:00,1756,829,927,clear-day,66.0,0.0,
2017-10-02 13:00:00,1753,898,855,clear-day,68.0,0.0,
2017-10-02 14:00:00,1719,885,834,clear-day,69.0,0.0,
2017-10-02 15:00:00,1637,867,770,clear-day,71.0,0.0,
2017-10-02 16:00:00,1883,1044,839,clear-day,71.0,0.0,
2017-10-02 17:00:00,1952,1072,880,clear-day,71.0,0.0,
2017-10-02 18:00:00,1659,1055,604,clear-day,69.0,0.0,
2017-10-02 19:00:00,773,319,454,clear-night,65.0,0.0,
2017-10-02 20:00:00,376,171,205,clear-night,62.0,0.0,
2017-10-02 21:00:00,301,142,159,clear-night,60.0,0.0,
2017-10-02 22:00:00,155,79,76,clear-night,58.0,0.0,
2017-10-02 23:00:00,78,46,32,clear-night,57.0,0.0,
2017-10-03 00:00:00,45,26,19,clear-night,55.0,0.0,
2017-10-03 01:00:00,17,12,5,clear-night,53.0,0.0,
2017-10-03 02:00:00,7,2,5,clear-night,52.0,0.0,
2017-10-03 03:00:00,5,2,3,clear-night,51.0,0.0,
2017-10-03 04:00:00,8,3,5,clear-night,51.0,0.0,
2017-10-03 05:00:00,22,14,8,clear-night,50.0,0.0,
2017-10-03 06:00:00,122,76,46,clear-night,50.0,0.0,
2017-10-03 07:00:00,230,96,134,clear-day,50.0,0.0,
2017-10-03 08:00:00,390,162,228,clear-day,52.0,0.0,
2017-10-03 09:00:00,616,341,275,clear-day,59.0,0.0,
2017-10-03 10:00:00,936,555,381,clear-day,62.0,0.0002,
2017-10-03 11:00:00,1517,799,718,clear-day,65.0,0.0003,
2017-10-03 12:00:00,1666,852,814,clear-day,67.0,0.0002,
2017-10-03 13:00:00,1572,792,780,partly-cloudy-day,67.0,0.0,
2017-10-03 14:00:00,1642,762,880,clear-day,68.0,0.0001,
